6
Rengar,Mordekaiser,Taric,Trundle,Galio,Soraka,Fiora,Tristana,Brand,Tryndamere
Fiora,Varus,Fizz,Cho’Gath,Vayne,Orianna,Diana,Sivir,Jarvan,Leona
Taric,Karma,Thresh,Morgana,Talon,Hecarim,Gragas,Cho’Gath,Pantheon,Mordekaiser
Riven,Rengar,Vayne,Diana,Soraka,Rammus,Janna,Galio,Jax,Singed
Karma,Trundle,Janna,Alistar,Karthus,Vi,Brand,Maokai,Jayce,Mordekaiser
Garen,Mordekaiser,Swain,Shaco,Shyvana,Evelynn,Olaf,Karthus,Teemo,Fiora
Evelynn,Caitlyn,Mordekaiser,Diana,Hecarim,Nidalee,Vayne,Miss,Shyvana,Orianna,2
Thresh,Akali,Shen,Mordekaiser,Rammus,Soraka,Lulu,Talon,Diana,Nami,1
Veigar,Poppy,Nautilus,Karthus,Jarvan,Mordekaiser,Diana,Nocturne,Varus,Sion,1
Nidalee,Lee,Nami,Cassiopeia,Kennen,Miss,Rengar,Draven,Varus,Nasus,1
Viktor,Fiora,Ezreal,Jayce,Shen,Vi,Caitlyn,Thresh,Diana,Morgana,1
Veigar,Alistar,Shaco,Renekton,Vi,Trundle,Mordekaiser,Twitch,Swain,Nasus,1
Sion,Nasus,Heimerdinger,Mordekaiser,Akali,Draven,Lulu,Miss,Diana,Orianna,2
Malphite,Kayle,Caitlyn,Singed,Trundle,Ezreal,Rammus,Malzahar,Ryze,Thresh,2
Lulu,Alistar,Jarvan,Fiora,Shen,Maokai,Diana,Mordekaiser,Akali,Ashe,1
Mordekaiser,Twitch,Orianna,Karma,Karthus,Trundle,Shyvana,Ashe,Akali,Fiora,2
Kha'Zix,Annie,Sona,Evelynn,Garen,Soraka,Brand,Heimerdinger,Rengar,Caitlyn,2
Cho'Gath,Graves,Mordekaiser,Soraka,Karthus,Maokai,Nautilus,Master,Karma,Darius,2
Kog'Maw,Cassiopeia,Nasus,Shyvana,Jax,Cho'Gath,Blitzcrank,Trundle,Morgana,Poppy,1
Cho'Gath,Rumble,Corki,Sona,Shaco,Mordekaiser,Kha'Zix,Urgot,Janna,Diana,1
Soraka,Amumu,Nami,Varus,Gragas,Orianna,Nocturne,Galio,Cho'Gath,Morgana,1
Trundle,Shyvana,Nunu,Mordekaiser,Fiora,Draven,Varus,Thresh,Malzahar,Galio,1
Irelia,Singed,Ashe,Darius,Leona,Karma,Maokai,Teemo,Heimerdinger,Ryze,2
Mordekaiser,Vi,Corki,Orianna,Janna,Veigar,Twisted,Malphite,Nocturne,Shen,2
Pantheon,Poppy,Rengar,Lee,Shyvana,Corki,Renekton,Kog'Maw,Kha'Zix,Irelia,2
Kayle,Morgana,Blitzcrank,Jax,Nami,Twisted,Shyvana,Galio,Jayce,Nasus,1
Shyvana,Caitlyn,Irelia,Cassiopeia,Taric,Miss,Diana,Malphite,Fiddlesticks,Vayne,1
Nunu,Urgot,Mordekaiser,Akali,Caitlyn,Anivia,Diana,Orianna,Tristana,Swain,1
Skarner,Shaco,Nami,Irelia,Teemo,Twitch,Jarvan,Fizz,Shyvana,Trundle,2
Varus,Kha'Zix,Shyvana,Orianna,Master,Taric,Rumble,Akali,Sona,Lux,1
Thresh,Olaf,Nami,Amumu,Brand,Fiddlesticks,Kayle,Vi,Draven,Vayne,2
Veigar,Akali,Thresh,Lee,Shyvana,Kha'Zix,Master,Trundle,Draven,Heimerdinger,2
Riven,Rengar,Veigar,Lux,Mordekaiser,Alistar,Jayce,Urgot,Cho'Gath,Gragas,1
Vi,Teemo,Galio,Master,Poppy,Trundle,Sejuani,Amumu,Cho'Gath,Tristana,1
Shyvana,Maokai,Nami,LeBlanc,Corki,Sona,Malzahar,Dr.Mundo,Pantheon,Talon,1
Sejuani,Shyvana,Malphite,Trundle,Elise,Varus,Thresh,Tryndamere,Orianna,Draven,1
Olaf,Alistar,Twitch,Diana,Shaco,Thresh,Twisted,Draven,Kha'Zix,Gragas,2
Darius,Diana,Morgana,Leona,Master,Graves,Heimerdinger,Alistar,Corki,Annie,1
Nasus,Trundle,Annie,Mordekaiser,Orianna,Veigar,Draven,Corki,Karthus,Fizz,2
Fiora,Thresh,Tristana,Varus,Draven,Kha'Zix,Annie,Shaco,Viktor,Lulu,2
Shyvana,Graves,Lux,Alistar,Dr.Mundo,Master,Fiora,Amumu,Galio,Mordekaiser,2
Rumble,Corki,Anivia,Orianna,Viktor,Malphite,Kassadin,Diana,Urgot,Darius,1
Nami,Urgot,Nidalee,Shaco,Draven,Teemo,Twisted,Shyvana,Corki,Elise,1
Shyvana,Caitlyn,Mordekaiser,Master,Vi,Pantheon,Alistar,Fiddlesticks,Evelynn,Diana,1
Swain,Blitzcrank,Thresh,Twitch,Ryze,Malzahar,Cassiopeia,Renekton,Diana,Annie,1
Fiora,Graves,Cho'Gath,Nami,Blitzcrank,Tristana,Brand,Lee,Viktor,Shyvana,1
Karma,Blitzcrank,Urgot,Evelynn,Twitch,Fiora,Elise,Thresh,Viktor,Pantheon,1
Veigar,Kha'Zix,Amumu,Master,Nasus,Rammus,Caitlyn,Diana,Lulu,Annie,2
Trundle,LeBlanc,Kayle,Ezreal,Alistar,Draven,Shyvana,Nami,Fiora,Kog'Maw,1
Taric,Rengar,Diana,Lulu,Cassiopeia,Pantheon,Fizz,Trundle,Veigar,Ezreal,2
Annie,Dr.Mundo,Thresh,LeBlanc,Shen,Twisted,Jayce,Nunu,Sion,Irelia,2
Mordekaiser,Vi,Amumu,Ezreal,Nasus,Sion,Orianna,Leona,Jax,Ryze,2
Veigar,Shaco,Nasus,Karma,Sona,Trundle,Jayce,Fiora,Mordekaiser,Nunu,2
Diana,Nami,Shen,Malphite,Orianna,Fiora,Leona,Thresh,Veigar,Shyvana,2
Pantheon,Sona,Shyvana,Alistar,Hecarim,Fizz,Nami,Galio,Viktor,Brand,1
Kha'Zix,Rumble,Draven,Mordekaiser,Twisted,Skarner,Garen,Vayne,Sivir,Maokai,2
Fiora,Pantheon,Hecarim,Thresh,Nunu,Jayce,Ezreal,Corki,Sivir,Trundle,1
Karthus,Draven,Jayce,Nami,Lux,Kayle,Alistar,Soraka,Diana,Ashe,2
Elise,Lee,Singed,Trundle,Tristana,Syndra,Janna,Draven,Kayle,Cho'Gath,1
Gragas,Jax,Fiddlesticks,Blitzcrank,Cho'Gath,Janna,Anivia,Nautilus,Rengar,Mordekaiser,2
Caitlyn,Irelia,Galio,Skarner,Gragas,Shyvana,Shaco,Ashe,Tristana,Alistar,1
Anivia,Twisted,Singed,Maokai,Akali,Kayle,Rammus,Ezreal,Lee,Master,1
Vi,Kog'Maw,Evelynn,Gragas,Orianna,Corki,Riven,Blitzcrank,Viktor,Shen,2
Alistar,Mordekaiser,Darius,Fiora,Brand,Lulu,Orianna,Corki,Sona,Nami,2
Heimerdinger,Nidalee,Diana,Lux,Thresh,Vayne,Singed,Evelynn,Jayce,Swain,1
Irelia,Ashe,Shyvana,Master,Malphite,Kennen,Renekton,Anivia,Malzahar,Thresh,1
Trundle,Varus,Akali,Fiora,Thresh,Kassadin,Elise,Alistar,Tristana,Orianna,2
Diana,Shyvana,Trundle,Rumble,Vi,Darius,Maokai,Thresh,Fiora,Akali,1
Corki,Taric,Nidalee,Heimerdinger,Kayle,Annie,Ryze,Poppy,Lee,Anivia,1
Lee,Nami,Twisted,Master,Katarina,Cho'Gath,Thresh,Vi,Garen,Evelynn,2
Kog'Maw,Irelia,Morgana,Trundle,Cho'Gath,Galio,Shen,Katarina,Varus,Sona,1
Cho'Gath,Lee,Gragas,Morgana,Twisted,Lux,Karthus,Irelia,Malzahar,Olaf,1
Fiddlesticks,Malzahar,Shyvana,Heimerdinger,Caitlyn,Orianna,Lulu,Galio,Pantheon,Evelynn,1
Evelynn,Galio,Corki,Jayce,Twisted,Lee,Rumble,Caitlyn,Thresh,Trundle,1
Diana,Annie,Lux,Akali,Rengar,Tryndamere,Renekton,Darius,Gragas,Shaco,2
Nocturne,Trundle,Amumu,Singed,Irelia,Mordekaiser,Kayle,Fiddlesticks,Ashe,Brand,1
Sion,Nunu,Gragas,Fiora,Malphite,Dr.Mundo,LeBlanc,Katarina,Sivir,Orianna,1
Dr.Mundo,Morgana,Annie,Anivia,Darius,Nautilus,Jarvan,Nidalee,Mordekaiser,Shyvana,2
Graves,Malzahar,Fiddlesticks,Janna,Urgot,Galio,Ezreal,Diana,Orianna,Twisted,1
Rumble,Vi,Shaco,Kayle,Diana,Poppy,Shen,Amumu,LeBlanc,Lux,1
Diana,Gragas,Kayle,Skarner,Shen,Evelynn,Teemo,Elise,Poppy,Twitch,2
Syndra,Trundle,Skarner,Singed,Fizz,Poppy,Jayce,Evelynn,Thresh,Nami,2
Diana,Lux,Skarner,Fiddlesticks,Jax,Darius,Garen,Ryze,Miss,Kassadin,1
Teemo,Kennen,Kayle,Soraka,Shaco,Lulu,Morgana,Nami,Heimerdinger,Sona,2
Galio,Alistar,Nautilus,Annie,Vayne,Garen,Urgot,Akali,Caitlyn,Draven,2
Shyvana,Trundle,Nocturne,Janna,Diana,Caitlyn,Gragas,Shen,Mordekaiser,Garen,2
Darius,Kha'Zix,Katarina,Kayle,Thresh,Ashe,Talon,Elise,Urgot,Alistar,1
Twitch,Rumble,Fiora,Ashe,LeBlanc,Brand,Annie,Diana,Irelia,Swain,2
Galio,Nami,Twisted,Blitzcrank,Varus,Diana,Cassiopeia,Renekton,Teemo,LeBlanc,2
Shaco,Shyvana,Ezreal,Fizz,Viktor,Elise,Urgot,Draven,Mordekaiser,Pantheon,2
Sona,Corki,Draven,Shyvana,Kennen,Lee,Thresh,Trundle,Karthus,Diana,2
Veigar,Trundle,Varus,Thresh,Lux,Nautilus,Jax,Urgot,Kayle,Riven,2
Singed,Mordekaiser,Diana,Trundle,Cho'Gath,Irelia,Morgana,Brand,Jayce,Rammus,1
Shyvana,Orianna,Twitch,Ryze,Fiora,Hecarim,Corki,Heimerdinger,Diana,Urgot,2
Morgana,Irelia,Corki,Fiora,Jayce,Lee,Sona,Hecarim,Nami,Nidalee,1
Caitlyn,Dr.Mundo,Blitzcrank,Irelia,Brand,Master,Shen,Rammus,Soraka,Sejuani,2
Rumble,Morgana,Cho'Gath,Heimerdinger,Kha'Zix,Lee,Corki,Swain,Diana,Thresh,1
Akali,Singed,Jayce,Varus,Pantheon,Evelynn,Thresh,Shaco,Tristana,Anivia,1
Draven,Ezreal,Caitlyn,Diana,Morgana,Varus,Jarvan,Tristana,Thresh,Shaco,2
Elise,Kennen,Soraka,Brand,Janna,Sejuani,Twisted,Fiddlesticks,Orianna,Annie,2
Evelynn,Mordekaiser,Diana,Rengar,Fiora,Amumu,Caitlyn,Thresh,Anivia,Ezreal,2
Caitlyn,Malphite,Morgana,Tristana,Shyvana,Fiddlesticks,Karma,Nautilus,Brand,Nidalee,1
Twisted,Jarvan,Kog'Maw,Ezreal,Mordekaiser,Shyvana,Corki,Sona,Vi,Alistar,2
Hecarim,Singed,Teemo,Malphite,Rumble,Vayne,Leona,Trundle,Pantheon,Riven,2
Caitlyn,Diana,Morgana,Nautilus,Poppy,Karthus,Shaco,Shen,Fiora,Teemo,1
Shyvana,Rumble,Pantheon,Shaco,Sion,Syndra,Kha'Zix,Riven,Rammus,Skarner,1
Malphite,Syndra,Sona,Soraka,Alistar,Corki,Karma,Twisted,Orianna,Karthus,1
Shaco,Nami,Rumble,Taric,Pantheon,Sivir,Ashe,Garen,Veigar,Shen,1
Nasus,Thresh,Master,Tristana,Morgana,Shyvana,Graves,Leona,Ashe,Diana,2
Gragas,Heimerdinger,Lee,Anivia,Nami,Alistar,Dr.Mundo,Rammus,Ashe,Poppy,2
Orianna,Mordekaiser,Fiddlesticks,Diana,Caitlyn,Fiora,Heimerdinger,Rengar,Trundle,Kennen,1
Kha'Zix,Urgot,Elise,Skarner,Kennen,Annie,Poppy,Jayce,Lulu,Veigar,1
Ryze,Fiora,Viktor,Gragas,Nocturne,Nami,Malphite,Alistar,Shyvana,Janna,2
Janna,Kha'Zix,Malzahar,Blitzcrank,Cho'Gath,Caitlyn,Heimerdinger,Karma,Kayle,Renekton,1
Alistar,Nunu,Cho'Gath,Kassadin,Rengar,Talon,Fiddlesticks,Corki,Ezreal,Fiora,2
Mordekaiser,Nautilus,Kha'Zix,Elise,Fiora,Orianna,Morgana,Viktor,Shaco,Shyvana,1
Lux,Pantheon,Trundle,Teemo,Janna,Darius,Master,Annie,Mordekaiser,Urgot,2
Jayce,Fiora,Morgana,Trundle,Ashe,Katarina,Diana,Orianna,Evelynn,Rumble,1
Diana,Blitzcrank,Garen,Fiora,Jarvan,Sona,Galio,Nautilus,Anivia,Fiddlesticks,1
Udyr,Malzahar,Jayce,Annie,Brand,Irelia,Kennen,Anivia,Nasus,Poppy,2
Cho'Gath,Master,Kassadin,Sona,Shyvana,Fiddlesticks,Diana,Kog'Maw,Lux,Orianna,1
Lulu,Graves,Ryze,Alistar,Thresh,Veigar,Nami,Lux,Orianna,Shyvana,1
Ezreal,Morgana,Teemo,Kayle,Maokai,Evelynn,Fiora,Diana,Galio,Soraka,1
Shen,Jarvan,Jax,Udyr,Diana,Hecarim,LeBlanc,Maokai,Sejuani,Thresh,1
Kayle,Rammus,Sejuani,Veigar,Diana,Heimerdinger,Jayce,Soraka,Blitzcrank,Vayne,1
Singed,Olaf,Fiddlesticks,Swain,Alistar,Corki,Nasus,LeBlanc,Diana,Fizz,2
Mordekaiser,Ashe,Brand,Malzahar,Taric,Fiora,Kha'Zix,Kayle,Caitlyn,Hecarim,1
Lee,Brand,Darius,Thresh,Udyr,Singed,Shen,Gragas,Urgot,Diana,1
Thresh,Master,Akali,Taric,Caitlyn,Tryndamere,Nami,Viktor,Garen,Sion,2
Rammus,Akali,Thresh,Diana,Vi,Malzahar,Orianna,Twitch,Sona,Fiora,2
Syndra,Elise,Graves,Nami,Jarvan,Janna,Kassadin,Sejuani,Ashe,Brand,2
Gragas,LeBlanc,Heimerdinger,Brand,Lux,Swain,Diana,Lee,Nami,Kassadin,1
Shaco,Garen,Cassiopeia,Sona,Fiddlesticks,Twisted,Varus,Trundle,Orianna,Mordekaiser,2
Mordekaiser,Kha'Zix,Graves,Evelynn,Elise,Corki,Draven,Jayce,Jarvan,Kassadin,2
Fiddlesticks,Varus,Miss,Diana,Trundle,Jayce,Rumble,Malphite,Gragas,Nasus,1
Mordekaiser,Brand,Cho'Gath,Orianna,Fizz,Nidalee,Swain,Pantheon,Nasus,Miss,1
Shyvana,Draven,Akali,Taric,Swain,Lulu,Rengar,Maokai,Galio,Riven,2
Elise,Blitzcrank,Malphite,Orianna,Vi,Shyvana,Singed,Corki,Urgot,Thresh,2
Morgana,Blitzcrank,Garen,Leona,Nunu,Diana,Jax,Master,Karma,Fizz,2
Akali,Vayne,Blitzcrank,Shyvana,Orianna,Hecarim,Galio,Darius,Talon,Poppy,2
Akali,Caitlyn,Diana,Mordekaiser,Shaco,Lux,Kha'Zix,Kennen,Gragas,Brand,2
Irelia,Morgana,Nautilus,Fiora,Malzahar,Cho'Gath,Nocturne,Thresh,Riven,Diana,2
Janna,Nami,Alistar,Ashe,Akali,Vayne,Kog'Maw,Trundle,Vi,Lulu,2
Kog'Maw,Singed,Elise,Nami,Gragas,Malphite,Katarina,Taric,Jax,Caitlyn,2
Alistar,Kha'Zix,Darius,Gragas,Nami,Akali,Teemo,Nautilus,Galio,Thresh,1
Trundle,Diana,Mordekaiser,Fizz,Morgana,Shyvana,Leona,Jax,Nocturne,Thresh,1
Jayce,Urgot,Gragas,Evelynn,Ryze,Talon,Trundle,Morgana,Sejuani,Thresh,1
Teemo,Nunu,Twitch,Nautilus,Pantheon,Alistar,Thresh,Miss,Taric,Nami,1
Rammus,Fiora,Akali,Poppy,Orianna,Urgot,Sona,Trundle,Lee,Cho'Gath,2
Trundle,Evelynn,Cassiopeia,Shaco,Anivia,Orianna,Mordekaiser,Twisted,Corki,Fiora,1
Kha'Zix,Soraka,Thresh,Amumu,Talon,Varus,Blitzcrank,Leona,Jayce,Evelynn,1
Sona,Ashe,Singed,Master,Kassadin,Soraka,Nasus,Garen,Heimerdinger,Thresh,2
Galio,Thresh,Ryze,Orianna,Jayce,Garen,Jax,Kayle,Nami,Brand,2
Master,Trundle,Sona,Rumble,Karma,Nidalee,Sivir,Vi,Dr.Mundo,Jayce,1
Kayle,Swain,Dr.Mundo,Sona,Malzahar,Morgana,Trundle,Mordekaiser,Alistar,Caitlyn,2
Vayne,Galio,Udyr,Soraka,Poppy,Tristana,Miss,Ezreal,Vi,Karma,2
Ashe,Annie,Diana,Caitlyn,Shen,Corki,Malphite,Shyvana,Jax,Akali,2
Blitzcrank,Syndra,Lulu,Fiora,Thresh,Malphite,Rammus,Pantheon,Fiddlesticks,Trundle,1
Diana,Trundle,Orianna,Thresh,Dr.Mundo,Cho'Gath,Fiora,Rumble,Urgot,Riven,2
Rammus,Cho'Gath,Blitzcrank,Draven,Shyvana,Elise,Tristana,Cassiopeia,Singed,Miss,1
Diana,Alistar,Akali,Sion,Singed,Kayle,Fiora,Viktor,Ashe,Taric,2
Hecarim,Vi,Twisted,Ezreal,Shyvana,Fizz,Alistar,Corki,Fiora,Garen,1
Master,Draven,Kha'Zix,Irelia,Fiddlesticks,Gragas,Trundle,Viktor,Karma,Vi,2
Sion,Ashe,Fiddlesticks,Cho'Gath,Maokai,Kha'Zix,Mordekaiser,Diana,Thresh,Tryndamere,2
Irelia,Jarvan,Nidalee,Syndra,Shyvana,Jayce,Shaco,Trundle,Blitzcrank,Singed,1
Syndra,Jax,Evelynn,Maokai,Brand,Mordekaiser,Diana,Leona,Sivir,Twitch,1
Malphite,Soraka,Sona,Jayce,Mordekaiser,Garen,Lulu,Rumble,Fiora,Annie,1
Hecarim,Poppy,Nocturne,Ryze,Nunu,Sivir,Trundle,Riven,Anivia,Nasus,1
Corki,Udyr,Veigar,Ezreal,Syndra,Trundle,Caitlyn,Evelynn,Darius,Garen,2
Kennen,Olaf,Lulu,Fiddlesticks,Shen,Vi,Nami,Fizz,Dr.Mundo,Pantheon,1
Ashe,Miss,Katarina,Rumble,Caitlyn,Sona,Brand,Shaco,Kennen,Shyvana,1
Draven,Karma,Nidalee,Kayle,Heimerdinger,Morgana,Ezreal,Fiddlesticks,Shyvana,Fiora,1
Cassiopeia,Maokai,Fizz,Soraka,Olaf,Pantheon,Cho'Gath,Janna,Sion,Nami,2
Annie,Galio,Sona,Caitlyn,Cassiopeia,Morgana,Shyvana,Blitzcrank,Malzahar,Nami,1
Akali,Jayce,Rumble,Shyvana,Soraka,Vayne,Ashe,Diana,Fizz,Fiora,2
Cho'Gath,Vi,Elise,Maokai,Evelynn,Renekton,Annie,Fiora,Malphite,Diana,1
Cho'Gath,Blitzcrank,Master,Singed,Rumble,Sejuani,Veigar,Gragas,Shyvana,Thresh,1
Brand,Jayce,Annie,Malzahar,Akali,Sona,Kennen,Jarvan,Nocturne,Morgana,2
Nunu,Kha'Zix,Irelia,Twisted,Vi,Janna,Udyr,Orianna,Malzahar,Hecarim,1
Fiora,Udyr,Vayne,Taric,Draven,Alistar,Pantheon,Ashe,Darius,Ezreal,1
Rengar,Brand,Sion,Diana,Kayle,Lulu,Nunu,Shyvana,Renekton,Fiddlesticks,2
Sion,Nami,Twisted,Karthus,Ryze,Akali,Gragas,Sivir,Shaco,Rammus,1
Jax,Rammus,Vi,Shen,Heimerdinger,Nasus,Nami,Renekton,Kayle,Sona,2
Morgana,Veigar,Fiora,LeBlanc,Draven,Galio,Jarvan,Karma,Sona,Annie,1
Fiora,Kayle,Annie,Kha'Zix,Thresh,Nautilus,Janna,Ryze,Darius,Mordekaiser,2
Hecarim,Kayle,Fiddlesticks,Nasus,Skarner,Varus,Brand,Fizz,Jax,Blitzcrank,1
Amumu,Soraka,Ezreal,Draven,Singed,Irelia,Twisted,Jax,Lux,Morgana,2
Shen,Fiora,Lux,Garen,Viktor,Singed,Pantheon,Nidalee,Lee,Gragas,2
Kha'Zix,Nami,Cho'Gath,Poppy,Hecarim,Maokai,Ezreal,Caitlyn,Shen,Diana,1
Shaco,Udyr,Swain,Riven,Cassiopeia,Garen,Malphite,Elise,Twisted,Karma,1
Leona,Jayce,Sion,Trundle,Fiora,Diana,Veigar,Shen,Graves,Gragas,1
Katarina,Jayce,Lee,Diana,Cho'Gath,Kayle,Morgana,Malzahar,Urgot,Master,1
Shyvana,Blitzcrank,Karthus,Renekton,Brand,Trundle,Tristana,Shaco,Fiora,Elise,1
Vayne,Lux,Trundle,Viktor,Syndra,Evelynn,Karma,Kayle,Fizz,Brand,2
Diana,Master,Fiddlesticks,Morgana,Karma,Rengar,Kayle,Rumble,Sona,Soraka,2
Diana,Twisted,Nautilus,Kayle,Mordekaiser,Soraka,Tristana,Rammus,Cassiopeia,Cho'Gath,2
Kog'Maw,Thresh,Karthus,Fiora,Blitzcrank,Master,Shyvana,Heimerdinger,Fiddlesticks,Akali,1
Fiora,Kog'Maw,Shyvana,Jax,Janna,Karthus,Caitlyn,Shaco,Kennen,Ryze,2
Syndra,Galio,Janna,Darius,Twisted,Sona,Riven,Morgana,Nocturne,Master,2
Garen,Urgot,Shyvana,Leona,Nocturne,Akali,Jayce,Heimerdinger,Orianna,Soraka,2
Thresh,Diana,Fiora,Corki,Brand,Miss,Fizz,Cho'Gath,Lee,Lulu,1
Twisted,Ezreal,Akali,Miss,Shyvana,Jarvan,Anivia,Orianna,Tristana,Darius,2
Pantheon,Rammus,Fizz,Gragas,Ezreal,Sion,Riven,Lee,Draven,Nami,1
Diana,Sejuani,Thresh,Malzahar,Sona,Alistar,Veigar,Fizz,Kennen,Heimerdinger,1
Soraka,Vi,Fiora,Morgana,Twisted,Singed,Nami,Thresh,Kha'Zix,Garen,1
Cho'Gath,Darius,Mordekaiser,Ashe,Fiora,Anivia,Galio,Elise,Kennen,Sona,2
Shyvana,Jax,Darius,Swain,Fiddlesticks,Cho'Gath,Twisted,Teemo,Sona,Evelynn,2
Cho'Gath,Sona,Galio,Malphite,Riven,Anivia,Nami,Fiora,Dr.Mundo,Kennen,2
Singed,Fiddlesticks,Ashe,Vi,Thresh,Darius,Galio,Diana,Akali,Nami,1
Lulu,Kha'Zix,Gragas,Trundle,Cho'Gath,Sona,Diana,Malzahar,Garen,Galio,2
Tristana,Jarvan,Malzahar,Pantheon,Ashe,Orianna,Alistar,Elise,Taric,Twitch,2
Evelynn,Caitlyn,Orianna,Draven,Rengar,Trundle,Corki,Miss,Vayne,Darius,2
Rammus,Pantheon,Cho'Gath,Talon,Garen,Draven,Kennen,Kayle,Nocturne,Morgana,2
Urgot,Ashe,Galio,Trundle,Blitzcrank,Mordekaiser,Nasus,Shaco,Thresh,Tryndamere,1
Skarner,Dr.Mundo,Miss,Hecarim,Caitlyn,Jayce,Twisted,Viktor,Kha'Zix,Singed,1
Kennen,Vi,Viktor,Sona,Karma,Heimerdinger,Diana,Nocturne,Mordekaiser,Urgot,2
Urgot,Shen,Brand,Nunu,Varus,Akali,Sejuani,Ryze,Vayne,Cho'Gath,2
Fiddlesticks,Maokai,Akali,Amumu,Sejuani,Rammus,Ezreal,Morgana,Sivir,Blitzcrank,2
Miss,Vi,Akali,Twitch,Trundle,Lee,Anivia,Poppy,Tristana,Shen,1
Orianna,Shaco,Annie,Thresh,Kayle,Teemo,Shyvana,Karma,Alistar,Sona,1
Mordekaiser,Garen,Evelynn,Urgot,Darius,Orianna,Shaco,Vayne,Elise,Twisted,1
Cassiopeia,Varus,Hecarim,Graves,Shaco,Nasus,Irelia,Trundle,Evelynn,Teemo,1
Leona,Evelynn,Twitch,Ezreal,Karma,Galio,Thresh,Syndra,Teemo,Nocturne,2
Kayle,Fizz,Anivia,Mordekaiser,Vayne,Katarina,Gragas,Orianna,Corki,Shyvana,1
Cho'Gath,Alistar,Miss,Caitlyn,Orianna,Evelynn,Nocturne,Rammus,Shyvana,Shaco,2
Karma,Shyvana,Irelia,Nasus,Gragas,Soraka,Elise,Urgot,Ezreal,Garen,1
Kennen,Urgot,Nocturne,Shen,Thresh,Ezreal,Mordekaiser,Nasus,Vi,Fiora,1
Galio,Kha'Zix,Annie,Caitlyn,Shyvana,Poppy,Orianna,Evelynn,Jayce,Kennen,2
Diana,Shen,Orianna,Fiddlesticks,Taric,Corki,Renekton,Kassadin,Lulu,Trundle,1
Morgana,Thresh,Kayle,Nocturne,Lee,Fiora,Jax,Galio,LeBlanc,Vayne,2
Katarina,Morgana,Gragas,Shen,Sion,Corki,Rumble,Kog'Maw,Trundle,Maokai,2
Gragas,Shen,Shyvana,Galio,Swain,Varus,Blitzcrank,Sejuani,Kayle,Cassiopeia,2
Ezreal,Twitch,Poppy,Shaco,Caitlyn,Ashe,Galio,Singed,Alistar,Anivia,1
Heimerdinger,Tryndamere,Malphite,Janna,Cho'Gath,Mordekaiser,Swain,Fiora,Vayne,Taric,1
Rammus,Thresh,Mordekaiser,Jarvan,Orianna,Annie,Shen,Jayce,Master,Jax,2
Dr.Mundo,Thresh,Diana,Rumble,Riven,Brand,Teemo,Annie,Lee,Twisted,1
Heimerdinger,Soraka,Rengar,Thresh,Diana,Nunu,Fiora,Pantheon,Draven,Graves,1
Nidalee,Kennen,Draven,Rengar,Nami,Diana,Twisted,Karma,Katarina,Vi,1
Elise,Hecarim,Tristana,Jax,Skarner,Cho'Gath,Katarina,Sona,Nocturne,Gragas,1
Fiora,Diana,Thresh,Lee,Morgana,Swain,Gragas,Dr.Mundo,Shaco,Caitlyn,2
Master,Lux,Jayce,Heimerdinger,Fizz,Vayne,Gragas,Trundle,Riven,Shaco,2
Nami,Nunu,Alistar,Rengar,Annie,Kassadin,Corki,Taric,Kayle,Udyr,1
Twitch,Akali,Graves,Riven,Alistar,Miss,Galio,Pantheon,Leona,Diana,1
Galio,Jax,Rumble,Gragas,Dr.Mundo,Heimerdinger,Singed,Orianna,Taric,Diana,1
Kassadin,Tryndamere,Miss,Malzahar,Heimerdinger,Garen,Pantheon,Graves,Ryze,Rumble,2
Leona,Gragas,Shen,Veigar,Tristana,Jayce,Talon,Sejuani,Pantheon,Tryndamere,1
Thresh,Trundle,Evelynn,Shyvana,Fiddlesticks,Sona,Galio,Miss,Diana,Orianna,1
Kayle,Leona,Trundle,Kennen,Swain,Varus,Shyvana,Twisted,Miss,Lulu,1
Karma,Soraka,Cho'Gath,Shen,Diana,Trundle,Mordekaiser,Akali,Nidalee,Jayce,2
Ashe,Tryndamere,Urgot,Heimerdinger,Mordekaiser,Sivir,Sion,Syndra,Diana,Master,1
Urgot,Shyvana,Poppy,Evelynn,Vayne,Viktor,Ashe,Veigar,Rammus,Katarina,1
Mordekaiser,Varus,Morgana,Darius,Shyvana,Rumble,Maokai,Evelynn,Pantheon,Nunu,2
Lulu,Morgana,Olaf,Ashe,Fiora,Mordekaiser,Pantheon,Skarner,Veigar,Nami,2
Sion,Corki,Caitlyn,Morgana,Gragas,Tristana,Shen,Alistar,Kassadin,Nami,1
Nocturne,Mordekaiser,Kennen,Skarner,Thresh,Katarina,Rumble,Swain,Shaco,Lulu,1
Soraka,Twisted,Mordekaiser,Nasus,Darius,Olaf,Swain,Thresh,Fiora,Jax,2
Skarner,Alistar,Gragas,Cho'Gath,Hecarim,Swain,Twitch,Fiddlesticks,Trundle,Kayle,2
Vi,Dr.Mundo,Maokai,Brand,Galio,Fizz,Annie,Ashe,Shaco,Kassadin,2
Brand,Kennen,Rammus,Nami,Fiora,Lee,Ezreal,Mordekaiser,Nocturne,Master,1
Darius,Graves,Urgot,Riven,Cho'Gath,Heimerdinger,Rumble,Shyvana,Shaco,Fiora,2
Draven,Maokai,Shyvana,Anivia,Malphite,Darius,Sona,Lux,Mordekaiser,Lee,1
